Date,kwh
2019-12-19,15.59
2019-12-20,11.58
2019-12-21,14.48
2019-12-22,13.63
2019-12-23,23.3
2019-12-24,17.36
2019-12-25,8.56
2019-12-26,6.72
2019-12-27,1.84
2019-12-28,7.58
2019-12-29,14.21
2019-12-30,18.27
2019-12-31,18.74
